DR_NO;Date Rptd;TIME OCC;AREA;AREA NAME;LOCATION;Vict Sex
221906797;03/10/2022 12:00:00 AM;700;19;Mission    ;14000    ASTORIA                      ST;F
201909255;04/29/2020 12:00:00 AM;1700;19;Mission    ;9900    SEPULVEDA                    BL ;
231907171;03/21/2023 12:00:00 AM;1200;19;Mission    ;8500    COLUMBUS                     AV ;F
231916568;11/13/2023 12:00:00 AM;1510;19;Mission    ;13100    REEDLEY                      ST;F
231907935;04/11/2023 12:00:00 AM;1100;19;Mission    ;8200    ALLOTT                       AV ;F
201909450;05/05/2020 12:00:00 AM;430;19;Mission    ;8800    MURIETTA                     AV ;F
221912349;07/11/2022 12:00:00 AM;1010;19;Mission    ;14600    TUNDRA                       DR;F
221916217;10/28/2022 12:00:00 AM;1;19;Mission    ;13600    DE GARMO                     AV;M
221912361;07/24/2022 12:00:00 AM;1200;19;Mission    ;8500    COLUMBUS                     AV ;M
221907277;03/21/2022 12:00:00 AM;1400;19;Mission    ;NORDHOFF                                ;F
231905574;02/07/2023 12:00:00 AM;2000;19;Mission    ;9200    ARLETA                       AV ;F
221906061;02/19/2022 12:00:00 AM;820;19;Mission    ;15500    NORDHOFF                     ST;F
231905889;02/13/2023 12:00:00 AM;1;19;Mission    ;14700    GLEDHILL                     ST;F
211912351;08/23/2021 12:00:00 AM;1200;19;Mission    ;LANARK                       ST         ;
211906386;03/08/2021 12:00:00 AM;900;19;Mission    ;9500    WOODALE                      AV ;M
221917817;12/12/2022 12:00:00 AM;305;19;Mission    ;8800    TOBIAS                       AV ;M
221904163;01/05/2022 12:00:00 AM;1150;19;Mission    ;15000    RINALDI                      ST;M
231911053;06/29/2023 12:00:00 AM;1200;19;Mission    ;13000    RELIANCE                     ST;M
231906447;02/28/2023 12:00:00 AM;1200;19;Mission    ;9000    WILLIS                       AV ;M
221908508;04/21/2022 12:00:00 AM;1200;19;Mission    ;15500    ROSCOE                       BL;F
221910282;06/02/2022 12:00:00 AM;1200;19;Mission    ;15300    RAYEN                        ST;F
231909660;05/23/2023 12:00:00 AM;2030;19;Mission    ;11100    ORION                        AV;F
211904165;01/05/2021 12:00:00 AM;2130;19;Mission    ;ROSCOE                       BL         ;M
221904880;01/25/2022 12:00:00 AM;1;19;Mission    ;14800    POLK                         ST;F
231906153;02/20/2023 12:00:00 AM;2151;19;Mission    ;9600    ELON                         AV ;M
221907278;03/21/2022 12:00:00 AM;1400;19;Mission    ;8100    WISNER                       AV ;F
221915679;10/13/2022 12:00:00 AM;1200;19;Mission    ;9800    STANWIN                      AV ;M
201917386;11/23/2020 12:00:00 AM;730;19;Mission    ;MERCER                                  ;F
221914445;09/14/2022 12:00:00 AM;1200;19;Mission    ;8100    TYRONE                       AV ;F
221911305;06/27/2022 12:00:00 AM;2200;19;Mission    ;12900    ROMONT                       ST;F
201904694;01/16/2020 12:00:00 AM;2130;19;Mission    ;FOOTHILL                                ;
221904134;01/04/2022 12:00:00 AM;2000;19;Mission    ;LASSEN                       ST         ;F
231908073;04/15/2023 12:00:00 AM;1250;19;Mission    ;14000    TYLER                        ST;M
211909484;06/04/2021 12:00:00 AM;1910;19;Mission    ;13900    AULTS                        AV;F
231907602;04/03/2023 12:00:00 AM;1200;19;Mission    ;8900    ORION                        AV ;F
231909898;05/25/2023 12:00:00 AM;2300;19;Mission    ;15400    EL CAJON                     ST;F
231905552;02/07/2023 12:00:00 AM;1200;19;Mission    ;8500    NORWICH                      AV ;M
221904906;01/25/2022 12:00:00 AM;1725;19;Mission    ;12400    BRADLEY                      AV;M
221918279;12/23/2022 12:00:00 AM;115;19;Mission    ;13300    DRONFIELD                    AV;F
231913826;08/30/2023 12:00:00 AM;600;19;Mission    ;13700    SPROULE                      AV;F
221915922;10/20/2022 12:00:00 AM;1;19;Mission    ;13700    HUBBARD                      ST;F
201915689;10/15/2020 12:00:00 AM;305;19;Mission    ;13600    FOOTHILL                     BL;F
201918078;12/15/2020 12:00:00 AM;1111;19;Mission    ;8300 N  SEPULVEDA                    BL ;M
201911106;06/18/2020 12:00:00 AM;1908;19;Mission    ;14600    BLYTHE                       ST;M
201908231;03/30/2020 12:00:00 AM;2000;19;Mission    ;7800    NOLLAN                       PL ;F
201908682;04/12/2020 12:00:00 AM;2221;19;Mission    ;9400    SEPULVEDA                    BL ;M
201908696;04/13/2020 12:00:00 AM;700;19;Mission    ;14500    WILLOWGREEN                  LN;
201910095;05/21/2020 12:00:00 AM;317;19;Mission    ;15100    ROXFORD                      ST;M
201917640;12/02/2020 12:00:00 AM;1140;19;Mission    ;14900    POLK                         ST;F
201914494;09/14/2020 12:00:00 AM;700;19;Mission    ;GLADSTONE                               ;M
201904416;01/08/2020 12:00:00 AM;2100;19;Mission    ;8200 N  SEPULVEDA                    BL ;M
201913374;08/17/2020 12:00:00 AM;1100;19;Mission    ;8600    CEDROS                       AV ;F
201904941;01/22/2020 12:00:00 AM;1535;19;Mission    ;WENTWORTH                               ;M
201917175;11/21/2020 12:00:00 AM;2200;19;Mission    ;12900    SAN FERNANDO                 RD;
201907628;03/14/2020 12:00:00 AM;1530;19;Mission    ;14500    NORDHOFF                     ST;M
201908081;03/26/2020 12:00:00 AM;1200;19;Mission    ;9100    WAKEFIELD                    AV ;F
201913906;08/29/2020 12:00:00 AM;1600;19;Mission    ;13200 W  LEACH                        ST;
201905114;01/23/2020 12:00:00 AM;1200;19;Mission    ;14900    SEPTO                        ST;F
201913385;08/17/2020 12:00:00 AM;1900;19;Mission    ;14000    LAKESIDE                     ST;
201915294;10/02/2020 12:00:00 AM;1125;19;Mission    ;10400    MARKLEIN                     AV;M
201910700;06/09/2020 12:00:00 AM;1045;19;Mission    ;8600 N  SEPULVEDA                    BL ;
201904146;01/04/2020 12:00:00 AM;2230;19;Mission    ;7900    WOODMAN                      AV ;M
201904377;01/09/2020 12:00:00 AM;110;19;Mission    ;15900    ROXFORD                      ST;X
201910533;06/03/2020 12:00:00 AM;1610;19;Mission    ;12900    FOOTHILL                     BL;
201915401;10/07/2020 12:00:00 AM;2140;19;Mission    ;12900    FOOTHILL                     BL;M
201916048;10/23/2020 12:00:00 AM;930;19;Mission    ;9000    LANGDON                      AV ;F
211908324;05/04/2021 12:00:00 AM;745;19;Mission    ;14400    FOOTHILL                     BL;F
201909752;05/13/2020 12:00:00 AM;2119;19;Mission    ;9200 N  SEPULVEDA                    BL ;M
201906663;02/20/2020 12:00:00 AM;845;19;Mission    ;WOODMAN                                 ;F
201918286;12/21/2020 12:00:00 AM;1450;19;Mission    ;9200    WOODMAN                      AV ;
201913350;08/15/2020 12:00:00 AM;1600;19;Mission    ;8800    WILLIS                       AV ;F
201916638;11/06/2020 12:00:00 AM;915;19;Mission    ;9200    CEDROS                       AV ;F
211907205;04/01/2021 12:00:00 AM;1;19;Mission    ;DE GARMO                     AV         ;F
201909585;05/08/2020 12:00:00 AM;2110;19;Mission    ;14000    HUBBARD                      ST;M
201910494;06/01/2020 12:00:00 AM;1620;19;Mission    ;14500    PINNEY                       ST;F
201916181;10/27/2020 12:00:00 AM;345;19;Mission    ;WILLIS                       AV         ;
201917245;11/22/2020 12:00:00 AM;1400;19;Mission    ;CHASE                        ST         ;F
201918330;12/10/2020 12:00:00 AM;600;19;Mission    ;15500    RAYEN                        ST;F
201909132;04/25/2020 12:00:00 AM;300;19;Mission    ;11100    LAUREL CANYON                BL;M
201911419;06/25/2020 12:00:00 AM;1219;19;Mission    ;9300    WOODMAN                      AV ;M
201905743;02/06/2020 12:00:00 AM;1315;19;Mission    ;9200    LANGDON                      AV ;F
201915405;10/07/2020 12:00:00 AM;1740;19;Mission    ;BEACHY                       AV         ;M
201916584;11/05/2020 12:00:00 AM;2000;19;Mission    ;13500    ROSCOE                       BL;M
201907670;03/16/2020 12:00:00 AM;45;19;Mission    ;10900    ORION                        AV;F
201916739;11/10/2020 12:00:00 AM;2100;19;Mission    ;14200    VAN NUYS                     BL;
201915835;10/18/2020 12:00:00 AM;1500;19;Mission    ;14100    PADDOCK                      ST;F
201913957;08/31/2020 12:00:00 AM;800;19;Mission    ;EL DORADO                               ;
201909034;04/22/2020 12:00:00 AM;1000;19;Mission    ;BALBOA                                  ;M
201908056;03/20/2020 12:00:00 AM;1649;19;Mission    ;8400    VAN NUYS                     BL ;F
201910029;05/20/2020 12:00:00 AM;1200;19;Mission    ;13600    ROSCOE                       BL;
201900971;12/16/2020 12:00:00 AM;1820;19;Mission    ;8100 N  SEPULVEDA                    BL ;M
201915778;10/17/2020 12:00:00 AM;2300;19;Mission    ;00    PORTOLA                      RD   ;F
201910286;05/27/2020 12:00:00 AM;1730;19;Mission    ;11000    COLUMBUS                     AV;
201909009;04/23/2020 12:00:00 AM;1030;19;Mission    ;10000    ARLETA                       AV;M
201913954;08/30/2020 12:00:00 AM;255;19;Mission    ;15100    SAN FERNANDO MISSION         BL;F
201904093;01/02/2020 12:00:00 AM;2025;19;Mission    ;15400    GLENOAKS                     BL;F
201911591;06/30/2020 12:00:00 AM;1150;19;Mission    ;9000    TOBIAS                       AV ;F
201912127;07/14/2020 12:00:00 AM;1000;19;Mission    ;ROSCOE                       BL         ;X
201912537;07/26/2020 12:00:00 AM;1100;19;Mission    ;14200    COMMUNITY                    ST;F
201906494;02/21/2020 12:00:00 AM;1850;19;Mission    ;14600    ROSCOE                       BL;
201900586;02/05/2020 12:00:00 AM;20;19;Mission    ;8500    COLUMBUS                     AV ;F
201914244;09/07/2020 12:00:00 AM;1630;19;Mission    ;14100    ROSCOE                       BL;
201907305;03/07/2020 12:00:00 AM;1200;19;Mission    ;9400    LEMONA                       AV ;M
201904881;01/21/2020 12:00:00 AM;2330;19;Mission    ;14200    VAN NUYS                     BL;
201916416;10/31/2020 12:00:00 AM;1540;19;Mission    ;8400    VAN NUYS                     BL ;F
201904136;01/02/2020 12:00:00 AM;300;19;Mission    ;9600    SEPULVEDA                    BL ;M
201910983;06/15/2020 12:00:00 AM;500;19;Mission    ;12100    HAVANA                       AV;M
201911934;07/09/2020 12:00:00 AM;2130;19;Mission    ;13000    BORDEN                       AV;M
201909906;05/16/2020 12:00:00 AM;2330;19;Mission    ;13400    BURTON                       ST;M
201913252;08/13/2020 12:00:00 AM;1240;19;Mission    ;7800    VAN NUYS                     BL ;X
201911577;06/30/2020 12:00:00 AM;2000;19;Mission    ;14400    FOOTHILL                     BL;
201912876;08/04/2020 12:00:00 AM;1545;19;Mission    ;7800    VAN NUYS                     BL ;M
201914080;09/02/2020 12:00:00 AM;1130;19;Mission    ;FOOTHILL                     BL         ;M
211905668;02/17/2021 12:00:00 AM;2000;19;Mission    ;7600    VENTURA CANYON               AV ;F
201917282;11/23/2020 12:00:00 AM;1500;19;Mission    ;14600    RAYEN                        ST;F
201904697;01/16/2020 12:00:00 AM;2200;19;Mission    ;8800    TOBIAS                       AV ;
201917461;11/26/2020 12:00:00 AM;2310;19;Mission    ;13500    FELLOWS                      AV;M
201904560;01/11/2020 12:00:00 AM;1440;19;Mission    ;14200    NORDHOFF                     ST;M
201915189;10/02/2020 12:00:00 AM;1700;19;Mission    ;9400 N  SEPULVEDA                    BL ;M
201906644;02/24/2020 12:00:00 AM;1930;19;Mission    ;8300    VAN NUYS                     BL ;M
201915950;10/20/2020 12:00:00 AM;2000;19;Mission    ;14600    PLUMMER                      ST;M
201912391;07/21/2020 12:00:00 AM;332;19;Mission    ;9600    CEDROS                       AV ;F
201908277;04/01/2020 12:00:00 AM;2012;19;Mission    ;9000    WILLIS                       AV ;F
201916808;11/12/2020 12:00:00 AM;800;19;Mission    ;14600    RAYEN                        ST;M
201910569;06/04/2020 12:00:00 AM;2300;19;Mission    ;8900    COLUMBUS                     AV ;M
201906391;02/19/2020 12:00:00 AM;2000;19;Mission    ;15100    ROSCOE                       BL;
201908725;04/13/2020 12:00:00 AM;1150;19;Mission    ;14200    ROSCOE                       BL;M
201911521;06/27/2020 12:00:00 AM;1130;19;Mission    ;9600    SYLMAR                       AV ;F
201909292;04/30/2020 12:00:00 AM;1500;19;Mission    ;14100    AZTEC                        ST;
201917531;11/30/2020 12:00:00 AM;700;19;Mission    ;13600    WILLARD                      ST;F
201908158;03/28/2020 12:00:00 AM;40;19;Mission    ;13900    FOOTHILL                     BL;M
201905141;01/25/2020 12:00:00 AM;1427;19;Mission    ;14400    FOX                          ST;M
201907942;03/22/2020 12:00:00 AM;15;19;Mission    ;10900    COLUMBUS                     AV;F
201915398;10/07/2020 12:00:00 AM;1000;19;Mission    ;14300    LORNE                        ST;M
201904547;01/13/2020 12:00:00 AM;1820;19;Mission    ;15000    ROSCOE                       BL;F
201918535;12/28/2020 12:00:00 AM;700;19;Mission    ;13200    DE FOE                       AV;M
201900596;02/07/2020 12:00:00 AM;1220;19;Mission    ;14000    VAN NUYS                     BL;M
201908896;04/19/2020 12:00:00 AM;2200;19;Mission    ;WAKEFIELD                    AV         ;M
201905930;02/10/2020 12:00:00 AM;2100;19;Mission    ;14500    NORDHOFF                     ST;F
201917292;11/23/2020 12:00:00 AM;1200;19;Mission    ;13100    RANGOON                      ST;F
201907764;03/17/2020 12:00:00 AM;1800;19;Mission    ;13000    CHIPPEWA                     ST;
201913959;08/30/2020 12:00:00 AM;2120;19;Mission    ;SHARP                        AV         ;M
201906452;02/20/2020 12:00:00 AM;2200;19;Mission    ;10000    WISNER                       AV;
201918476;12/24/2020 12:00:00 AM;800;19;Mission    ;13100    BROMONT                      AV;M
201906572;02/22/2020 12:00:00 AM;810;19;Mission    ;9900    SEPULVEDA                    BL ;M
201912237;07/17/2020 12:00:00 AM;1700;19;Mission    ;9300    SYLMAR                       AV ;
201904054;01/01/2020 12:00:00 AM;1300;19;Mission    ;7800    VAN NUYS                     BL ;F
201916651;11/08/2020 12:00:00 AM;1700;19;Mission    ;ASTORIA                      ST         ;
201915428;10/08/2020 12:00:00 AM;1500;19;Mission    ;VAN NUYS                                ;F
201910473;06/01/2020 12:00:00 AM;1955;19;Mission    ;8300    COLUMBUS                     AV ;F
201910335;05/27/2020 12:00:00 AM;2030;19;Mission    ;15000    PARTHENIA                    ST;M
201912547;07/27/2020 12:00:00 AM;1100;19;Mission    ;13000    GLENOAKS                     BL;M
201909223;04/28/2020 12:00:00 AM;1500;19;Mission    ;14000    FOOTHILL                     BL;F
201909183;04/27/2020 12:00:00 AM;222;19;Mission    ;12900    FOOTHILL                     BL;M
201913402;08/17/2020 12:00:00 AM;2345;19;Mission    ;7800    VENTURA CANYON               AV ;M
201904799;01/19/2020 12:00:00 AM;1005;19;Mission    ;12500    SAN FERNANDO                 RD;F
211905603;02/08/2021 12:00:00 AM;1200;19;Mission    ;SEPULVEDA                               ;F
201913416;08/17/2020 12:00:00 AM;2030;19;Mission    ;15000    PADDOCK                      ST;F
201908037;03/24/2020 12:00:00 AM;300;19;Mission    ;13000    DRONFIELD                    AV;F
201912115;07/14/2020 12:00:00 AM;1610;19;Mission    ;15200    RAYEN                        ST;F
201917995;12/12/2020 12:00:00 AM;1922;19;Mission    ;13300    HERRON                       ST;F
201911241;06/21/2020 12:00:00 AM;1855;19;Mission    ;13600    REMINGTON                    ST;M
201914582;09/15/2020 12:00:00 AM;600;19;Mission    ;9000    WOODMAN                      AV ;F
201912528;07/26/2020 12:00:00 AM;1030;19;Mission    ;14900    MAYALL                       ST;F
201914130;09/03/2020 12:00:00 AM;1200;19;Mission    ;9700    WOODMAN                      AV ;M
201914517;09/14/2020 12:00:00 AM;1730;19;Mission    ;10300 N  SEPULVEDA                    BL;M
201910341;05/28/2020 12:00:00 AM;1900;19;Mission    ;9100    LEMONA                       AV ;
201907233;03/06/2020 12:00:00 AM;1600;19;Mission    ;14800    CHASE                        ST;
201900890;09/23/2020 12:00:00 AM;1600;19;Mission    ;12900    HERRICK                      AV;M
201911170;06/19/2020 12:00:00 AM;600;19;Mission    ;14500    POLK                         ST;F
201918291;12/21/2020 12:00:00 AM;1;19;Mission    ;9400 N  SEPULVEDA                    BL ;M
201912438;07/22/2020 12:00:00 AM;1200;19;Mission    ;13700    MINDORA                      AV;F
201915972;10/21/2020 12:00:00 AM;1000;19;Mission    ;15400    NORDHOFF                     ST;F
201917526;11/30/2020 12:00:00 AM;420;19;Mission    ;8300 N  SEPULVEDA                    BL ;M
201912977;08/06/2020 12:00:00 AM;1200;19;Mission    ;15100    MONTE                        ST;F
201912616;07/28/2020 12:00:00 AM;417;19;Mission    ;9000    VAN NUYS                     BL ;M
201917068;11/18/2020 12:00:00 AM;940;19;Mission    ;8500    COLUMBUS                     AV ;F
201916519;11/04/2020 12:00:00 AM;1920;19;Mission    ;14700    RINALDI                      ST;M
211904009;12/31/2020 12:00:00 AM;1740;19;Mission    ;12900    AZTEC                        ST;F
201909431;05/05/2020 12:00:00 AM;25;19;Mission    ;14300    NORDHOFF                     ST;M
201908959;04/21/2020 12:00:00 AM;1340;19;Mission    ;NOBLE                        AV         ;
201907729;03/16/2020 12:00:00 AM;900;19;Mission    ;13900    AZTEC                        ST;F
201909154;04/26/2020 12:00:00 AM;630;19;Mission    ;14600    NOVICE                       ST;M
201911954;07/09/2020 12:00:00 AM;1730;19;Mission    ;15100    MINNEHAHA                    ST;M
201913330;08/15/2020 12:00:00 AM;1945;19;Mission    ;DEVONSHIRE                   ST         ;F
201908448;04/04/2020 12:00:00 AM;1600;19;Mission    ;12700    TELFAIR                      AV;F
211905788;02/19/2021 12:00:00 AM;1620;19;Mission    ;FOOTHILL                     BL         ;M
201905048;01/24/2020 12:00:00 AM;750;19;Mission    ;TYLER                                   ;F
201916679;11/08/2020 12:00:00 AM;155;19;Mission    ;15200    BRAND                        BL;M
201915141;09/25/2020 12:00:00 AM;1200;19;Mission    ;12300    SAN FERNANDO                 RD;F
201915531;10/11/2020 12:00:00 AM;2200;19;Mission    ;00    VERONICA                     WY   ;M
201910553;06/04/2020 12:00:00 AM;1800;19;Mission    ;10600    LEMONA                       AV;
201910821;06/11/2020 12:00:00 AM;20;19;Mission    ;9300    VAN NUYS                     BL ;M
201915079;09/30/2020 12:00:00 AM;1700;19;Mission    ;15200    NURMI                        ST;F
201908636;04/11/2020 12:00:00 AM;1700;19;Mission    ;15500    CHASE                        ST;
201906260;02/16/2020 12:00:00 AM;130;19;Mission    ;13000    BORDEN                       AV;M
211904106;01/01/2021 12:00:00 AM;1538;19;Mission    ;8100    WAKEFIELD                    AV ;M
201909538;05/07/2020 12:00:00 AM;2225;19;Mission    ;14200    LORNE                        ST;M
201918503;12/28/2020 12:00:00 AM;200;19;Mission    ;15300    DEVONSHIRE                   ST;M
201916958;11/16/2020 12:00:00 AM;2000;19;Mission    ;NORDHOFF                     ST         ;
201911572;06/29/2020 12:00:00 AM;1100;19;Mission    ;13600    SUNBURST                     ST;F
201911019;06/15/2020 12:00:00 AM;1800;19;Mission    ;9500    VAN NUYS                     BL ;M
201908179;03/28/2020 12:00:00 AM;1700;19;Mission    ;7900    WOODMAN                      AV ;M
201914951;09/26/2020 12:00:00 AM;1230;19;Mission    ;12800    ENCINITAS                    AV;
201907735;03/17/2020 12:00:00 AM;1810;19;Mission    ;9300    SEPULVEDA                    BL ;F
201906185;02/14/2020 12:00:00 AM;1900;19;Mission    ;8400    CANTALOUPE                   AV ;M
201904616;01/14/2020 12:00:00 AM;1630;19;Mission    ;9500    WOODMAN                      AV ;F
201907497;03/11/2020 12:00:00 AM;1700;19;Mission    ;13300    GLADSTONE                    AV;F
201915840;10/19/2020 12:00:00 AM;1340;19;Mission    ;14400    BRAND                        BL;M
201917155;11/19/2020 12:00:00 AM;820;19;Mission    ;9500    NATICK                       AV ;M
201913521;08/20/2020 12:00:00 AM;2300;19;Mission    ;FENTON                       AV         ;F
201910999;06/15/2020 12:00:00 AM;1500;19;Mission    ;9300    LANGDON                      AV ;M
201905819;02/08/2020 12:00:00 AM;1130;19;Mission    ;14300    ROSCOE                       BL;M
201906959;03/01/2020 12:00:00 AM;1900;19;Mission    ;9500    SEPULVEDA                    BL ;
201905810;02/08/2020 12:00:00 AM;100;19;Mission    ;14700    ROSCOE                       BL;F
201912011;07/11/2020 12:00:00 AM;800;19;Mission    ;14300    TERRA BELLA                  ST;
201911239;06/22/2020 12:00:00 AM;900;19;Mission    ;CABRITO                                 ;M
201916785;11/11/2020 12:00:00 AM;1530;19;Mission    ;VAN NUYS                     BL         ;M
201908292;04/01/2020 12:00:00 AM;1;19;Mission    ;12100    EL DORADO                    AV;M
201905541;02/03/2020 12:00:00 AM;2000;19;Mission    ;15500    ROMAR                        ST;
201912494;07/24/2020 12:00:00 AM;915;19;Mission    ;8400    ORION                        AV ;F
201915151;09/30/2020 12:00:00 AM;715;19;Mission    ;9000    KATHERINE                    AV ;M
201914441;09/12/2020 12:00:00 AM;1300;19;Mission    ;13100    DRONFIELD                    AV;F
201905124;01/26/2020 12:00:00 AM;2200;19;Mission    ;14200    POLK                         ST;F
201913073;08/07/2020 12:00:00 AM;1600;19;Mission    ;BROMONT                      AV         ;M
201913016;08/06/2020 12:00:00 AM;2215;19;Mission    ;LAUREL CANYON                BL         ;F
201914941;09/25/2020 12:00:00 AM;200;19;Mission    ;STRATHERN                               ;M
201905161;01/27/2020 12:00:00 AM;1930;19;Mission    ;14300    HUBBARD                      ST;F
201914784;09/21/2020 12:00:00 AM;1130;19;Mission    ;15300    LANARK                       ST;F
201904456;01/10/2020 12:00:00 AM;900;19;Mission    ;9000    TOBIAS                       AV ;F
211905693;02/17/2021 12:00:00 AM;1800;19;Mission    ;10300    VENA                         AV;M
201908935;04/20/2020 12:00:00 AM;1800;19;Mission    ;13900    FOOTHILL                     BL;M
201910324;05/27/2020 12:00:00 AM;200;19;Mission    ;14600    PLUMMER                      ST;F
201916748;11/10/2020 12:00:00 AM;1200;19;Mission    ;16700    NICKLAUS                     DR;F
201904473;01/11/2020 12:00:00 AM;1545;19;Mission    ;8500    BURNET                       AV ;
201910644;06/07/2020 12:00:00 AM;1935;19;Mission    ;10300 N  SEPULVEDA                    BL;M
201906448;02/19/2020 12:00:00 AM;2045;19;Mission    ;7800    VAN NUYS                     BL ;M
201914106;09/02/2020 12:00:00 AM;1230;19;Mission    ;15600    ROSALES                      ST;M
201912078;07/13/2020 12:00:00 AM;1500;19;Mission    ;EL DORADO                    AV         ;
201910452;03/31/2020 12:00:00 AM;2030;19;Mission    ;14700    STRATHERN                    ST;F
201905170;01/27/2020 12:00:00 AM;2300;19;Mission    ;KESTER                                  ;F
201915354;10/07/2020 12:00:00 AM;1420;19;Mission    ;14900    SAN JOSE                     ST;M
201915102;09/30/2020 12:00:00 AM;130;19;Mission    ;9800    WOODALE                      AV ;
201909976;05/18/2020 12:00:00 AM;1800;19;Mission    ;9200    BURNET                       AV ;F
201908418;04/03/2020 12:00:00 AM;2045;19;Mission    ;8900    WOODMAN                      AV ;M
201916154;10/26/2020 12:00:00 AM;2245;19;Mission    ;9100    CEDROS                       AV ;
201916933;11/15/2020 12:00:00 AM;1830;19;Mission    ;11400    SAN FERNANDO                 RD;
201905779;02/03/2020 12:00:00 AM;1100;19;Mission    ;10100    BURNET                       AV;M
201904853;01/20/2020 12:00:00 AM;1635;19;Mission    ;15500    CHASE                        ST;F
201904440;01/10/2020 12:00:00 AM;1530;19;Mission    ;15800    LARKSPUR                     ST;
201910713;06/09/2020 12:00:00 AM;300;19;Mission    ;14000    AZTEC                        ST;
201915796;10/18/2020 12:00:00 AM;945;19;Mission    ;14400    TITUS                        ST;M
201908189;03/28/2020 12:00:00 AM;510;19;Mission    ;12700    SAN FERNANDO                 RD;F
201912788;08/01/2020 12:00:00 AM;1300;19;Mission    ;RAYEN                        ST         ;F
201906375;02/18/2020 12:00:00 AM;1700;19;Mission    ;11100    ALEMANY                      DR;M
201913495;08/19/2020 12:00:00 AM;1500;19;Mission    ;14700    TITUS                        ST;F
201912174;07/15/2020 12:00:00 AM;1300;19;Mission    ;8700    WOODMAN                      AV ;
